email,nombre,empresa,sector,ciudad
contacto@asobanca.org.ec,Distinguido/a representante,ASOBANCA - Asociación de Bancos Privados,Banca,Quito
ventanilladigital@superbancos.gob.ec,Distinguido/a representante,Superintendencia de Bancos,Banca,Quito
info@favorita.com,Distinguido/a representante,Corporación Favorita - Supermaxi,Retail,Quito
sugerencias@favorita.com,Distinguido/a representante,Corporación Favorita - Megamaxi,Retail,Quito
arcotelrequerimientosclientesclarofijo@claro.com.ec,Distinguido/a representante,Claro Ecuador,Telecomunicaciones,Guayaquil
fundespol@espol.edu.ec,Distinguido/a representante,ESPOL - Escuela Superior Politécnica del Litoral,Universidades,Guayaquil
espae@espol.edu.ec,Distinguido/a representante,ESPOL - ESPAE Graduate School,Universidades,Guayaquil
kealvear@espol.edu.ec,Distinguido/a representante,ESPOL Oficina Quito,Universidades,Quito
info.cenaim@espol.edu.ec,Distinguido/a representante,ESPOL - CENAIM,Universidades,Guayaquil
centrodecontacto@cnel.gob.ec,Distinguido/a representante,CNEL EP - Corporación Nacional de Electricidad,Energía,Guayaquil
atencionvirtual@eeq.com.ec,Distinguido/a representante,EEQ - Empresa Eléctrica Quito,Energía,Quito
info@cme.org.ec,Distinguido/a representante,Cámara de Minería del Ecuador,Minería,Quito
serviciocliente@fybeca.com,Distinguido/a representante,Fybeca - Farmacias,Farmacéuticas,Guayaquil
servicioalconsumidor@ec.nestle.com,Distinguido/a representante,Nestlé Ecuador,Alimentos y Bebidas,Quito
info@cee.org.ec,Distinguido/a representante,Comité Empresarial Ecuatoriano,Asociación Empresarial,Quito
info@proecuador.gob.ec,Distinguido/a representante,PRO ECUADOR,Comercio Exterior,Quito
info@rbecuador.com,Distinguido/a representante,Russell Bedford Ecuador,Consultoría,Quito
info@cidems.com.ec,Distinguido/a representante,CIDEMS CIA. LTDA.,Servicios Empresariales,Quito
gestion@cidems.com.ec,Distinguido/a representante,CIDEMS CIA. LTDA.,Servicios Empresariales,Quito
info@quimatec.com.ec,Distinguido/a representante,Quimatec,Servicios Industriales,Quito
info@cicert.com.ec,Distinguido/a representante,C.I.C. Certificación,Certificación ISO,Quito
info@francer.com.ec,Distinguido/a representante,Francer,Servicios de Limpieza,Quito
info@ciuq.ec,Distinguido/a representante,CIUQ - Centro de Información Urbana Quito,Gobierno Municipal,Quito
info@tecnoav.com,Distinguido/a representante,TECNOAV,Tecnología,Quito
contacto@telalca.com,Distinguido/a representante,Telalca,Tecnología,Quito
info@lacamara.org,Distinguido/a representante,Cámara de Comercio de Guayaquil,Comercio,Guayaquil
servicios@ccec.com.ec,Distinguido/a representante,Cámara de Comercio Ecuatoriano-Canadiense,Comercio,Quito
info@optur.org,Distinguido/a representante,OPTUR - Asociación de Operadores de Turismo,Turismo,Quito
ahotec@interactive.net.ec,Distinguido/a representante,Federación Hotelera del Ecuador,Turismo,Quito
info@trolebus.gob.ec,Distinguido/a representante,EPMTPQ - Trolebús Quito,Transporte Público,Quito
alcaldia@guayaquil.gob.ec,Distinguido/a representante,Metrovía Guayaquil,Transporte Público,Guayaquil
inscriptions@uazuay.edu.ec,Distinguido/a representante,Universidad del Azuay,Universidades,Cuenca
miuda@uazuay.edu.ec,Distinguido/a representante,Universidad del Azuay,Universidades,Cuenca
admisiones@usfq.edu.ec,Distinguido/a representante,Universidad San Francisco de Quito,Universidades,Quito
sflores@usfq.edu.ec,Sara Flores,Universidad San Francisco de Quito,Universidades,Quito
