email,nombre,apellido,empresa,ciudad,tipo
gerencia@hospitalclinicasanagustin.com,Distinguido/a,miembro,Clinica San Agustin,Loja,Hospital
info@mantahospitalcenter.com,Distinguido/a,miembro,Manta Hospital Center,Manta,Hospital
administracion@mantahospitalcenter.com.ec,Distinguido/a,miembro,Manta Hospital Center,Manta,Hospital
hosinternacional@gmail.com,Distinguido/a,miembro,Hospital Internacional Dr. Medina,Ambato,Hospital
hospital@sisantaines.com,Distinguido/a,miembro,Hospital Santa Ines Ambato,Ambato,Hospital
info@medimagenes.ec,Distinguido/a,miembro,Medimagenes Centro Radiologico,Quito,Imagenología
info@clinicaelbatan.com,Distinguido/a,miembro,Clinica El Batan,Quito,Clínica
info@biotest.ec,Distinguido/a,miembro,Biotest Centro Medico,Quito,Laboratorio
servicioalcliente@biotest.ec,Distinguido/a,miembro,Biotest Centro Medico,Quito,Laboratorio
info@radiologosasociados.com.ec,Distinguido/a,miembro,Radiologos Asociados,Quito,Imagenología
sugerencias@cetcus.med.ec,Distinguido/a,miembro,Cetcus Centro Diagnostico,Quito,Imagenología
info@clinicasantaana.com.ec,Distinguido/a,miembro,Clinica Santa Ana,Cuenca,Clínica
callcenter@axxishospital.com.ec,Distinguido/a,miembro,Axxis Hospital de Especialidades,Quito,Hospital
atencion_usuario@clinicapasteur.org.ec,Distinguido/a,miembro,Clinica Pasteur,Quito,Clínica
info@clinicapasteur.org.ec,Distinguido/a,miembro,Clinica Pasteur,Quito,Clínica
info@cen.ec,Distinguido/a,miembro,Centro de Especialidad Nuclear CEN,Quito,Medicina Nuclear
contacto@lynerlab.com.ec,Distinguido/a,miembro,Lynerlab Laboratorio Clinico,Quito,Laboratorio
contacto@riohospital.com.ec,Distinguido/a,miembro,Rio Hospital Riobamba,Riobamba,Hospital
imagenes@hospitaldelrio.com.ec,Distinguido/a,miembro,Hospital Universitario del Rio,Cuenca,Hospital
cvalle@hospitalalcivar.com,Distinguido/a,miembro,Hospital Alcivar Imagenologia,Guayaquil,Imagenología
seleccion@hospitalalcivar.com,Distinguido/a,miembro,Hospital Alcivar,Guayaquil,Hospital
cardioalcivar@hospitalalcivar.com,Distinguido/a,miembro,Hospital Alcivar Cardiologia,Guayaquil,Hospital
info@ciudadmedicalamira.com,Distinguido/a,miembro,Hospital Municipal Bicentenario,Guayaquil,Hospital
info@ecuadordental.com.ec,Distinguido/a,miembro,Ecuador Dental,Guayaquil,Centro Diagnóstico
info@cityimagen.com,Distinguido/a,miembro,Cityimagen Ecuador,Quito,Imagenología
administracion@cdimagenlab.com,Distinguido/a,miembro,CDImagenLab,Cayambe,Imagenología
gerencia@directoriomedicoquito.com,Distinguido/a,miembro,Directorio Medico Quito,Quito,Centro Diagnóstico
achpe@achpe.org.ec,Distinguido/a,miembro,ACHPE Asociacion Hospitales Privados,Quito,Hospital
miexperiencia@metrored.med.ec,Distinguido/a,miembro,Metrored Centro Medico,Quito,Centro Diagnóstico
info@centrosmedicoscruzroja.com.ec,Distinguido/a,miembro,Centros Medicos Cruz Roja,Quito,Centro Diagnóstico
nuevaesperanza.salud@gmail.com,Distinguido/a,miembro,Consultorio Nueva Esperanza,Quito,Centro Diagnóstico
servicioalcliente@semedic.com.ec,Distinguido/a,miembro,Semedic Centro Medico,Guayaquil,Centro Diagnóstico
talentoomnihospital@gmail.com.ec,Distinguido/a,miembro,Omni Hospital,Guayaquil,Hospital
consultas@eduardoalcivar.com,Distinguido/a,miembro,Consultorio Eduardo Alcivar,Guayaquil,Centro Diagnóstico
info@saludamiga.com,Distinguido/a,miembro,Salud Amiga,Portoviejo,Clínica
atencionalcliente@saludamiga.com,Distinguido/a,miembro,Salud Amiga,Portoviejo,Clínica
laboratoriodelta@outlook.es,Distinguido/a,miembro,Laboratorio Ciclico Delta,Portoviejo,Laboratorio
clinicasamaniego@hotmail.com,Distinguido/a,miembro,Clinica Samaniego,Esmeraldas,Clínica
renalcentroesmeraldas@yahoo.com,Distinguido/a,miembro,Clinica del Rinon Renal Centro,Esmeraldas,Clínica
iess@iess.gob.ec,Distinguido/a,miembro,IESS Hospital General,Quito,Hospital
hospital@iessbabahoyo.gob.ec,Distinguido/a,miembro,Hospital IESS Babahoyo,Babahoyo,Hospital
direccion@solca.org.ec,Distinguido/a,miembro,SOLCA Matriz Guayaquil,Guayaquil,Hospital
metrofraternidad@hmetro.med.ec,Distinguido/a,miembro,Hospital Metropolitano,Quito,Hospital
historias@hospitalvozandes.com,Distinguido/a,miembro,Hospital Vozandes,Quito,Hospital
revista@hospitalvozandes.com,Distinguido/a,miembro,Hospital Vozandes,Quito,Hospital
derivaciones.HE1.ISSFA@gmail.com,Distinguido/a,miembro,Hospital Militar Quito HE-1,Quito,Hospital
info@hospitalsanfrancisco.com.ec,Distinguido/a,miembro,Hospital Clinica San Francisco,Guayaquil,Hospital
info@dentel.com.ec,Distinguido/a,miembro,Dentel Ecuador Radiologia Dental,Quito,Centro Diagnóstico
info@globalimagen.com.ec,Distinguido/a,miembro,Global Imagen Radiologia Dental,Quito,Imagenología
info@hospitaldame.com,Distinguido/a,miembro,Hospital Dame Especialidades Medicas,Quito,Hospital
contacto@clinicaguayaquil.com,Distinguido/a,miembro,Clinica Guayaquil,Guayaquil,Clínica
info@hospitalvernaza.med.ec,Distinguido/a,miembro,Hospital Luis Vernaza,Guayaquil,Hospital
info@hospikennedy.med.ec,Distinguido/a,miembro,Hospital Kennedy,Guayaquil,Hospital
contacto@hospitalrobertogilbert.med.ec,Distinguido/a,miembro,Hospital de Ninos Roberto Gilbert,Guayaquil,Hospital
info@skn.ec,Distinguido/a,miembro,Grupo SKN Diagnostico por Imagenes,Quito,Imagenología
contacto@dimagen.com.ec,Distinguido/a,miembro,Dimagen Ecuador,Guayaquil,Imagenología
info@cerid.ec,Distinguido/a,miembro,CERID Centro Radiologia,Guayaquil,Imagenología
contacto@dmicenter.com.ec,Distinguido/a,miembro,DMI Center,Quito,Imagenología
info@omnihospital.ec,Distinguido/a,miembro,Omni Hospital,Guayaquil,Hospital
contacto@ecomedica.med.ec,Distinguido/a,miembro,Ecomedica Centro Diagnostico,Quito,Imagenología
info@solcaquito.org.ec,Distinguido/a,miembro,SOLCA Nucleo de Quito,Quito,Hospital
contacto@solcaloja.med.ec,Distinguido/a,miembro,SOLCA Nucleo de Loja,Loja,Hospital
info@solcaimbabura.org.ec,Distinguido/a,miembro,SOLCA Unidad Oncologica Imbabura,Ibarra,Hospital
contacto@solcamachala.org.ec,Distinguido/a,miembro,SOLCA Machala,Machala,Hospital
info@medimagen.com.ec,Distinguido/a,miembro,Medimagen Centro Radiologico,Cuenca,Imagenología
contacto@scannercuenca.com.ec,Distinguido/a,miembro,Scanner Cuenca,Cuenca,Imagenología
info@hospitalmontesinai.org,Distinguido/a,miembro,Hospital Monte Sinai,Cuenca,Hospital
contacto@clinicaespana.med.ec,Distinguido/a,miembro,Clinica Espana,Cuenca,Clínica
info@cemediam.com,Distinguido/a,miembro,Cemediam Centro Medico Diagnostico,Ambato,Centro Diagnóstico
contacto@ihmedina.org,Distinguido/a,miembro,Hospital Internacional Dr Medina,Ambato,Hospital
info@hospitalambato.com,Distinguido/a,miembro,Hospital General Privado Ambato,Ambato,Hospital
contacto@hospitalsantaines.com,Distinguido/a,miembro,Hospital Santa Ines Ambato,Ambato,Hospital
